,session_id,host,logname,user,http_method,activity,activity_file_ext,http_version,status,bytes_of_response,referer,user_agent,suspicious_referer,suspicious_agent,reserved_words,err_status,prec_sign_count,session_request_count,session_request_count_per_second,session_same_count
0,83.149.9.216:1,83.149.9.216,-,-,GET,/presentations/logstash-monitorama-2013/images/kibana-search.png,png,HTTP/1.1,200.0,203023.0,http://semicomplete.com/presentations/logstash-monitorama-2013/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",0.0,0.0,0.0,0.0,0.0,23.0,0.3898305084745763,1.0
1,83.149.9.216:1,83.149.9.216,-,-,GET,/presentations/logstash-monitorama-2013/images/kibana-dashboard3.png,png,HTTP/1.1,200.0,171717.0,http://semicomplete.com/presentations/logstash-monitorama-2013/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",0.0,0.0,0.0,0.0,0.0,23.0,0.3898305084745763,1.0
2,83.149.9.216:1,83.149.9.216,-,-,GET,/presentations/logstash-monitorama-2013/plugin/highlight/highlight.js,js,HTTP/1.1,200.0,26185.0,http://semicomplete.com/presentations/logstash-monitorama-2013/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",0.0,0.0,0.0,0.0,0.0,23.0,0.3898305084745763,1.0
3,83.149.9.216:1,83.149.9.216,-,-,GET,/presentations/logstash-monitorama-2013/plugin/zoom-js/zoom.js,js,HTTP/1.1,200.0,7697.0,http://semicomplete.com/presentations/logstash-monitorama-2013/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",0.0,0.0,0.0,0.0,0.0,23.0,0.3898305084745763,1.0
4,83.149.9.216:1,83.149.9.216,-,-,GET,/presentations/logstash-monitorama-2013/plugin/notes/notes.js,js,HTTP/1.1,200.0,2892.0,http://semicomplete.com/presentations/logstash-monitorama-2013/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",0.0,0.0,0.0,0.0,0.0,23.0,0.3898305084745763,1.0
5,83.149.9.216:1,83.149.9.216,-,-,GET,/presentations/logstash-monitorama-2013/images/sad-medic.png,png,HTTP/1.1,200.0,430406.0,http://semicomplete.com/presentations/logstash-monitorama-2013/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",0.0,0.0,0.0,0.0,0.0,23.0,0.3898305084745763,1.0
6,83.149.9.216:1,83.149.9.216,-,-,GET,/presentations/logstash-monitorama-2013/css/fonts/Roboto-Bold.ttf,ttf,HTTP/1.1,200.0,38720.0,http://semicomplete.com/presentations/logstash-monitorama-2013/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",0.0,0.0,0.0,0.0,0.0,23.0,0.3898305084745763,1.0
7,83.149.9.216:1,83.149.9.216,-,-,GET,/presentations/logstash-monitorama-2013/css/fonts/Roboto-Regular.ttf,ttf,HTTP/1.1,200.0,41820.0,http://semicomplete.com/presentations/logstash-monitorama-2013/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",0.0,0.0,0.0,0.0,0.0,23.0,0.3898305084745763,1.0
8,83.149.9.216:1,83.149.9.216,-,-,GET,/presentations/logstash-monitorama-2013/images/frontend-response-codes.png,png,HTTP/1.1,200.0,52878.0,http://semicomplete.com/presentations/logstash-monitorama-2013/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",0.0,0.0,0.0,0.0,0.0,23.0,0.3898305084745763,1.0
9,83.149.9.216:1,83.149.9.216,-,-,GET,/presentations/logstash-monitorama-2013/images/kibana-dashboard.png,png,HTTP/1.1,200.0,321631.0,http://semicomplete.com/presentations/logstash-monitorama-2013/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",0.0,0.0,0.0,0.0,0.0,23.0,0.3898305084745763,1.0
10,83.149.9.216:1,83.149.9.216,-,-,GET,/presentations/logstash-monitorama-2013/images/Dreamhost_logo.svg,svg,HTTP/1.1,200.0,2126.0,http://semicomplete.com/presentations/logstash-monitorama-2013/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",0.0,0.0,0.0,0.0,0.0,23.0,0.3898305084745763,1.0
